Date,Active,Deceased,Released_from_Isolation
3/20,8,0,4
3/21,11,0,4
3/22,14,0,4
3/23,21,1,4
3/24,19,3,7
3/25,21,3,8
3/26,24,3,8
3/27,37,4,8
3/28,40,4,8
3/29,40,4,8
3/30,37,5,10
3/31,35,5,13
4/1,35,5,14
4/2,35,6,14
4/3,38,6,16
4/4,40,6,16
4/5,41,6,16
4/6,33,6,26
4/7,38,6,26
4/8,39,7,27
4/9,33,7,34
4/10,26,7,41
4/11,25,7,44
4/12,24,7,45
4/13,19,7,50
4/14,15,7,55
4/15,19,7,57
4/16,19,7,59
4/17,20,7,60
4/18,21,7,60
4/19,21,7,60
4/20,21,7,60
4/21,19,7,62
4/22,18,7,63
4/23,18,7,65
4/24,16,7,67
4/25,13,7,70
4/26,13,7,70
4/27,11,7,72
4/28,12,7,73
4/29,12,7,74
4/30,11,7,75
5/1,11,7,75
5/2,12,7,75
5/3,12,7,75
5/4,11,7,76
5/5,11,7,76
5/6,13,7,76
5/7,13,7,77
5/8,13,7,77
5/9,13,7,77
5/10,13,7,78
5/11,12,7,80
5/12,11,7,80
5/13,11,7,81
5/14,11,7,82
5/15,10,7,82
5/16,11,7,82
5/17,12,7,82
5/18,18,7,82
5/19,21,7,82
5/20,22,7,82
5/21,27,7,82
5/22,28,7,82
5/23,32,7,82
5/24,33,7,82
5/25,33,7,82
5/26,32,7,86
5/27,31,7,90
5/28,36,7,91
5/29,49,7,91
5/30,50,7,91
5/31,53,7,91
6/1,56,7,92
6/2,61,7,93
6/3,59,7,100
6/4,59,7,102
6/5,58,7,106
6/6,61,7,106
6/7,61,7,106
6/8,55,7,115
6/9,58,7,116
6/10,58,7,118
6/11,60,7,125
6/12,64,7,125
6/13,66,7,125
6/14,68,7,127
6/15,63,7,135
6/16,65,7,139
6/17,66,7,142
6/18,69,7,143
6/19,72,7,143
6/20,79,7,143
6/21,81,7,144
6/22,85,7,147
6/23,84,7,154
6/24,94,7,155
6/25,95,7,161
6/26,100,7,163
6/27,105,7,163
6/28,109,7,163
6/29,98,7,183
6/30,98,7,191
7/1,107,7,193
7/2,116,7,197
7/3,119,7,197
7/4,127,7,197
7/5,127,7,203
7/6,153,7,212
7/7,157,7,221
7/8,167,8,231
7/9,195,8,237
7/10,226,8,239
7/11,240,8,239
7/12,257,8,239
7/13,256,8,267
7/14,299,8,281
7/15,304,8,297
7/16,323,8,315
7/17,346,8,332
7/18,363,8,332
7/19,386,8,334
7/20,424,8,356
7/21,448,8,376
7/22,458,8,398
7/23,450,9,479
7/24,454,9,488
7/25,479,9,500
7/26,468,9,514
7/27,454,9,585
7/28,463,9,617
7/29,480,9,639
7/30,487,10,663
7/31,499,10,688
8/1,517,10,691
8/2,524,10,694
8/3,524,10,752
8/4,535,11,781
8/5,564,11,823
8/6,572,12,847
8/7,579,13,888
8/8,603,13,891
8/9,629,13,894
8/10,645,15,924